# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)
| Electrified Barrel | Rare | 7.37% |
| Hyperion Thrusters | Rare | 2.01% |

## Kosma Raider Carver
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 37.94% |
| Parallax Scope | Common | 37.94% |
| Conductive Blade | Rare | 7.37% |
| Ammo Chain | Rare | 7.37% |
| Electrified Barrel | Rare | 7.37% |
| Hyperion Thrusters | Rare | 2.01% |

## Gyre Raider
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Extend | Common | 75.88% |
| Conductive Blade | Rare | 5.53% |
| Quick Reload | Rare | 5.53% |
| Electrified Barrel | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Sabot Rounds | Rare | 2.01% |

## Gyre Raider Carver
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Extend | Common | 75.88% |
| Conductive Blade | Rare | 5.53% |
| Quick Reload | Rare | 5.53% |
| Electrified Barrel | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Sabot Rounds | Rare | 2.01% |

## Gyre Raider Eviscerator
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Extend | Common | 75.88% |
| Conductive Blade | Rare | 5.53% |
| Quick Reload | Rare | 5.53% |
| Electrified Barrel | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Sabot Rounds | Rare | 2.01% |

## Kosma Raider Eviscerator
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 37.94% |
| Parallax Scope | Common | 37.94% |
| Conductive Blade | Rare | 7.37% |
| Ammo Chain | Rare | 7.37% |
| Electrified Barrel | Rare | 7.37% |
| Hyperion Thrusters | Rare | 2.01% |

## Exo Gokstad Officer
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 76.47% |
| Cutting Edge | Rare | 5.04% |
| Glacial Edge | Rare | 5.04% |
| Rubedo-Lined Barrel | Rare | 5.04% |
| Polar Magazine | Rare | 5.04% |
| Automatic Trigger | Rare | 1.68% |
| Kinetic Diversion | Rare | 1.68% |

## Kosma Gokstad Officer
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Energy Inversion | Common | 75.88% |
| Cutting Edge | Rare | 4.42% |
| Glacial Edge | Rare | 4.42% |
| Rubedo-Lined Barrel | Rare | 4.42% |
| Polar Magazine | Rare | 4.42% |
| Energy Amplifier | Rare | 4.42% |
| Astral Autopsy | Rare | 2.01% |

## Gyre Gokstad Officer
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 79.82% |
| Cutting Edge | Rare | 5.26% |
| Rubedo-Lined Barrel | Rare | 5.26% |
| Polar Magazine | Rare | 5.26% |
| Dual Rounds | Rare | 1.75% |
| System Reroute | Rare | 1.75% |
| Glacial Edge | Legendary | 0.88% |

## Kosma Butcher
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 76.47% |
| Furor | Rare | 5.04% |
| Poisonous Sting | Rare | 5.04% |
| Venomous Clip | Rare | 5.04% |
| Enhanced Durability | Rare | 5.04% |
| Automatic Trigger | Rare | 1.68% |
| Efficient Transferral | Rare | 1.68% |

## Exo Butcher
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 76.47% |
| Furor | Rare | 5.04% |
| Poisonous Sting | Rare | 5.04% |
| Venomous Clip | Rare | 5.04% |
| Superior Defenses | Rare | 5.04% |
| Deadly Efficiency | Rare | 1.68% |
| Critical Focus | Rare | 1.68% |

## Exo Elite Lancer
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 76.47% |
| Furor | Rare | 5.04% |
| Poisonous Sting | Rare | 5.04% |
| Venomous Clip | Rare | 5.04% |
| Superior Defenses | Rare | 5.04% |
| Deadly Efficiency | Rare | 1.68% |
| Critical Focus | Rare | 1.68% |

## Exo Eviscerator
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Common | 37.94% |
| Argon Plating | Common | 37.94% |
| Blazing Steel | Rare | 5.53% |
| Shell Rush | Rare | 5.53% |
| Rubedo-Lined Barrel | Rare | 5.53% |
| Quick Reload | Rare | 5.53% |
| Morphic Transformer | Rare | 2.01% |

## Exo Supressor
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Common | 37.94% |
| Argon Plating | Common | 37.94% |
| Blazing Steel | Rare | 5.53% |
| Shell Rush | Rare | 5.53% |
| Rubedo-Lined Barrel | Rare | 5.53% |
| Quick Reload | Rare | 5.53% |
| Morphic Transformer | Rare | 2.01% |

## Kosma Elite Lancer
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 76.47% |
| Furor | Rare | 5.04% |
| Poisonous Sting | Rare | 5.04% |
| Venomous Clip | Rare | 5.04% |
| Enhanced Durability | Rare | 5.04% |
| Automatic Trigger | Rare | 1.68% |
| Efficient Transferral | Rare | 1.68% |

## Kosma Eviscerator
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Common | 37.94% |
| Argon Plating | Common | 37.94% |
| Blazing Steel | Rare | 5.53% |
| Shell Rush | Rare | 5.53% |
| Combustion Rounds | Rare | 5.53% |
| Superior Defenses | Rare | 5.53% |
| Hollowed Bullets | Rare | 2.01% |

## Gyre Butcher
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Energy Inversion | Common | 79.82% |
| Poisonous Sting | Rare | 5.26% |
| Resolute Focus | Rare | 5.26% |
| Venomous Clip | Rare | 5.26% |
| Archgun Ace | Rare | 1.75% |
| Marked Target | Rare | 1.75% |
| Furor | Legendary | 0.88% |

## Gyre Elite Lancer
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Energy Inversion | Common | 79.82% |
| Poisonous Sting | Rare | 5.26% |
| Resolute Focus | Rare | 5.26% |
| Venomous Clip | Rare | 5.26% |
| Archgun Ace | Rare | 1.75% |
| Marked Target | Rare | 1.75% |
| Furor | Legendary | 0.88% |

## Gyre Eviscerator
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sudden Impact | Uncommon | 25.29% |
| Magazine Extension | Uncommon | 25.29% |
| Argon Plating | Uncommon | 25.29% |
| Blazing Steel | Rare | 7.37% |
| Combustion Rounds | Rare | 7.37% |
| Superior Defenses | Rare | 7.37% |
| Ballista Measure | Rare | 2.01% |

## Gyre Supressor
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sudden Impact | Uncommon | 25.29% |
| Magazine Extension | Uncommon | 25.29% |
| Argon Plating | Uncommon | 25.29% |
| Blazing Steel | Rare | 7.37% |
| Combustion Rounds | Rare | 7.37% |
| Superior Defenses | Rare | 7.37% |
| Ballista Measure | Rare | 2.01% |

## Kosma Supressor
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Common | 37.94% |
| Argon Plating | Common | 37.94% |
| Blazing Steel | Rare | 5.53% |
| Shell Rush | Rare | 5.53% |
| Combustion Rounds | Rare | 5.53% |
| Superior Defenses | Rare | 5.53% |
| Hollowed Bullets | Rare | 2.01% |

## Elite Kosma Flak
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Burn | Common | 59.66% |
| Predator | Rare | 9.24% |
| Section Density | Rare | 9.24% |
| Onslaught Matrix | Rare | 9.24% |
| Cruising Speed | Rare | 9.24% |
| Revo Reducer | Rare | 1.68% |
| Conic Nozzle | Rare | 1.68% |

## Kosma Flak
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Burn | Common | 75.88% |
| Predator | Rare | 5.53% |
| Section Density | Rare | 5.53% |
| Onslaught Matrix | Rare | 5.53% |
| Cruising Speed | Rare | 5.53% |
| Revo Reducer | Rare | 1.01% |
| Conic Nozzle | Rare | 1.01% |

## Elite Exo Flak
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Shatter Burst | Common | 34.55% |
| Breach Quanta | Uncommon | 16.25% |
| Fire Suppression | Uncommon | 16.25% |
| Orgone Tuning Matrix | Uncommon | 15.10% |
| Flow Burn | Uncommon | 15.10% |
| Particle Ram | Rare | 1.37% |
| Artillery Cheap Shot | Rare | 1.37% |

## Exo Flak
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Shatter Burst | Uncommon | 25.29% |
| Breach Quanta | Uncommon | 25.29% |
| Fire Suppression | Uncommon | 25.29% |
| Orgone Tuning Matrix | Uncommon | 11.06% |
| Flow Burn | Uncommon | 11.06% |
| Particle Ram | Rare | 1.01% |
| Artillery Cheap Shot | Rare | 1.01% |

## Elite Exo Taktis
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Munitions Vortex | Common | 36.97% |
| Quicklock | Uncommon | 29.83% |
| Void Cloak | Uncommon | 29.83% |
| Blackout Pulse | Rare | 1.12% |
| Sentient Scalpel | Rare | 1.12% |
| Death Blossom | Rare | 1.12% |

## Exo Taktis
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quicklock | Common | 37.94% |
| Void Cloak | Common | 37.94% |
| Munitions Vortex | Uncommon | 22.11% |
| Blackout Pulse | Legendary | 0.67% |
| Sentient Scalpel | Legendary | 0.67% |
| Death Blossom | Legendary | 0.67% |

## Elite Exo Outrider
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 51.52% |
| Tether | Rare | 6.35% |
| Ironclad Matrix | Rare | 6.35% |
| Indomitable Matrix | Rare | 6.35% |
| Battle Forge | Rare | 6.35% |
| Form Up | Rare | 6.35% |
| Battle Stations | Rare | 6.35% |
| Intruder Stasis | Rare | 6.35% |
| Ordnance Velocity | Rare | 1.35% |
| Granum's Nemesis | Rare | 1.35% |
| Turret Velocity | Rare | 1.35% |

## Exo Outrider
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 51.52% |
| Tether | Rare | 6.35% |
| Ironclad Matrix | Rare | 6.35% |
| Indomitable Matrix | Rare | 6.35% |
| Battle Forge | Rare | 6.35% |
| Form Up | Rare | 6.35% |
| Battle Stations | Rare | 6.35% |
| Intruder Stasis | Rare | 6.35% |
| Ordnance Velocity | Rare | 1.35% |
| Granum's Nemesis | Rare | 1.35% |
| Turret Velocity | Rare | 1.35% |

## Elite Exo Cutter
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Void Hole | Uncommon | 20.00% |
| Granum's Nemesis | Uncommon | 20.00% |
| Worm's Torment | Uncommon | 20.00% |
| Sentient Scalpel | Uncommon | 20.00% |
| Revo Reducer | Uncommon | 20.00% |
| Seeker Volley | Legendary | — |
| Conic Nozzle | Legendary | — |

## Exo Cutter
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Seeker Volley | Common | 91.67% |
| Void Hole | Rare | 1.39% |
| Granum's Nemesis | Rare | 1.39% |
| Worm's Torment | Rare | 1.39% |
| Sentient Scalpel | Rare | 1.39% |
| Revo Reducer | Rare | 1.39% |
| Conic Nozzle | Rare | 1.39% |

## Elite Kosma Taktis
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Overloader | Common | 34.55% |
| Ripload | Uncommon | 16.25% |
| Hyperstrike | Uncommon | 16.25% |
| Ironclad Matrix | Uncommon | 10.07% |
| Warhead | Uncommon | 10.07% |
| Protective Shots | Uncommon | 10.07% |
| Crimson Fugue | Rare | 2.75% |

## Kosma Taktis
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Overloader | Uncommon | 25.29% |
| Ripload | Uncommon | 25.29% |
| Hyperstrike | Uncommon | 25.29% |
| Ironclad Matrix | Rare | 7.37% |
| Warhead | Rare | 7.37% |
| Protective Shots | Rare | 7.37% |
| Crimson Fugue | Rare | 2.01% |

## Elite Kosma Outrider
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 75.88% |
| Tether | Rare | 3.16% |
| Onslaught Matrix | Rare | 3.16% |
| Indomitable Matrix | Rare | 3.16% |
| Battle Forge | Rare | 3.16% |
| Form Up | Rare | 3.16% |
| Battle Stations | Rare | 3.16% |
| Intruder Stasis | Rare | 3.16% |
| Ordnance Velocity | Rare | 1.01% |
| Turret Velocity | Rare | 1.01% |

## Kosma Outrider
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 75.88% |
| Tether | Rare | 3.16% |
| Onslaught Matrix | Rare | 3.16% |
| Indomitable Matrix | Rare | 3.16% |
| Battle Forge | Rare | 3.16% |
| Form Up | Rare | 3.16% |
| Battle Stations | Rare | 3.16% |
| Intruder Stasis | Rare | 3.16% |
| Ordnance Velocity | Rare | 1.01% |
| Turret Velocity | Rare | 1.01% |

## Elite Kosma Cutter
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quicklock | Common | 59.66% |
| Predator | Uncommon | 12.32% |
| Section Density | Uncommon | 12.32% |
| Raider Matrix | Uncommon | 12.32% |
| Crimson Fugue | Rare | 1.68% |
| Forward Artillery | Rare | 1.68% |

## Kosma Cutter
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Predator | Uncommon | 22.92% |
| Section Density | Uncommon | 22.92% |
| Raider Matrix | Uncommon | 22.92% |
| Cruising Speed | Uncommon | 22.92% |
| Forward Artillery | Rare | 4.17% |
| Conic Nozzle | Rare | 4.17% |

## Elite Gyre Flak
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quicklock | Uncommon | 29.83% |
| Fire Suppression | Uncommon | 29.83% |
| Munitions Vortex | Uncommon | 18.49% |
| Onslaught Matrix | Uncommon | 18.49% |
| Blackout Pulse | Rare | 1.68% |
| Ordnance Cheap Shot | Rare | 1.68% |

## Gyre Flak
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quicklock | Common | 37.94% |
| Fire Suppression | Common | 37.94% |
| Munitions Vortex | Uncommon | 11.06% |
| Onslaught Matrix | Uncommon | 11.06% |
| Blackout Pulse | Rare | 1.01% |
| Ordnance Cheap Shot | Rare | 1.01% |

## Elite Gyre Taktis
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Burn | Common | 47.89% |
| Scourging Warheads | Uncommon | 27.91% |
| Ripload | Uncommon | 22.52% |
| Worm's Torment | Legendary | 0.85% |
| Squad Renew | Legendary | 0.85% |
| Conic Nozzle | Legendary | — |

## Gyre Taktis
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ripload | Common | 37.94% |
| Ion Burn | Common | 37.94% |
| Scourging Warheads | Uncommon | 22.11% |
| Worm's Torment | Legendary | 0.67% |
| Conic Nozzle | Legendary | 0.67% |
| Squad Renew | Legendary | 0.67% |

## Elite Gyre Outrider
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 72.41% |
| Onslaught Matrix | Rare | 4.10% |
| Indomitable Matrix | Rare | 4.10% |
| Battle Forge | Rare | 4.10% |
| Form Up | Rare | 4.10% |
| Battle Stations | Rare | 4.10% |
| Intruder Stasis | Rare | 4.10% |
| Ordnance Velocity | Legendary | 0.87% |
| Worm's Torment | Legendary | 0.87% |
| Turret Velocity | Legendary | 0.87% |
| Tether | Legendary | 0.37% |

## Gyre Outrider
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 72.41% |
| Onslaught Matrix | Rare | 4.10% |
| Indomitable Matrix | Rare | 4.10% |
| Battle Forge | Rare | 4.10% |
| Form Up | Rare | 4.10% |
| Battle Stations | Rare | 4.10% |
| Intruder Stasis | Rare | 4.10% |
| Ordnance Velocity | Legendary | 0.87% |
| Worm's Torment | Legendary | 0.87% |
| Turret Velocity | Legendary | 0.87% |
| Tether | Legendary | 0.37% |

## Elite Gyre Cutter
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Hyperstrike | Common | 37.94% |
| Ion Burn | Common | 37.94% |
| Phoenix Blaze | Rare | 7.37% |
| Warhead | Rare | 7.37% |
| Section Density | Rare | 7.37% |
| Revo Reducer | Rare | 2.01% |

## Gyre Cutter
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Hyperstrike | Common | 37.94% |
| Ion Burn | Common | 37.94% |
| Phoenix Blaze | Uncommon | 11.06% |
| Warhead | Uncommon | 11.06% |
| Ordnance Cheap Shot | Rare | 1.01% |
| Revo Reducer | Rare | 1.01% |

## Kuva Lich Agor Rok (Level 0 - 69)
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Reflex Coil | Rare | 7.37% |
| Heated Charge | Rare | 7.37% |
| Diamond Skin | Rare | 7.37% |
| Heavy Trauma | Legendary | 0.67% |
| Streamline | Legendary | 0.67% |
| Iron Phoenix | Legendary | 0.67% |

## Kuva Lich Agor Rok (Level 70 - 79)
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Vitality | Common | 48.71% |
| Thief's Wit | Common | 48.71% |
| Kinetic Diversion | Legendary | 0.52% |
| Hyperion Thrusters | Legendary | 0.52% |
| Streamline | Legendary | 0.52% |
| Bullet Dance | Legendary | 0.52% |
| 80 Endo | Legendary | 0.52% |

## Kuva Lich Agor Rok (Level 80 - 100)
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Shell Rush | Common | 45.83% |
| Reflex Coil | Common | 45.83% |
| Condition Overload | Rare | 1.67% |
| Master Thief | Rare | 1.67% |
| Four Riders | Rare | 1.67% |
| Defiled Snapdragon | Rare | 1.67% |
| 80 Endo | Rare | 1.67% |

## Exo Gokstad Pilot
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 76.47% |
| Cutting Edge | Rare | 5.04% |
| Glacial Edge | Rare | 5.04% |
| Rubedo-Lined Barrel | Rare | 5.04% |
| Polar Magazine | Rare | 5.04% |
| Automatic Trigger | Rare | 1.68% |
| Kinetic Diversion | Rare | 1.68% |

## Kosma Gokstad Pilot
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Energy Inversion | Common | 75.88% |
| Cutting Edge | Rare | 4.42% |
| Glacial Edge | Rare | 4.42% |
| Rubedo-Lined Barrel | Rare | 4.42% |
| Polar Magazine | Rare | 4.42% |
| Energy Amplifier | Rare | 4.42% |
| Astral Autopsy | Rare | 2.01% |

## Gyre Gokstad Pilot
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 79.82% |
| Cutting Edge | Rare | 5.26% |
| Rubedo-Lined Barrel | Rare | 5.26% |
| Polar Magazine | Rare | 5.26% |
| Dual Rounds | Rare | 1.75% |
| System Reroute | Rare | 1.75% |
| Glacial Edge | Legendary | 0.88% |

## Exo Roller Sentry
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 76.47% |
| Furor | Rare | 5.04% |
| Poisonous Sting | Rare | 5.04% |
| Venomous Clip | Rare | 5.04% |
| Superior Defenses | Rare | 5.04% |
| Deadly Efficiency | Rare | 1.68% |
| Critical Focus | Rare | 1.68% |

## Gyre Roller Sentry
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Magazine Extension | Common | 79.82% |
| Cutting Edge | Rare | 5.26% |
| Rubedo-Lined Barrel | Rare | 5.26% |
| Polar Magazine | Rare | 5.26% |
| Dual Rounds | Rare | 1.75% |
| System Reroute | Rare | 1.75% |
| Glacial Edge | Legendary | 0.88% |

## Kosma Roller Sentry
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 76.47% |
| Furor | Rare | 5.04% |
| Poisonous Sting | Rare | 5.04% |
| Venomous Clip | Rare | 5.04% |
| Enhanced Durability | Rare | 5.04% |
| Automatic Trigger | Rare | 1.68% |
| Efficient Transferral | Rare | 1.68% |

## Anu Brachiolyst
**Base Mod Drop Chance:** 7.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aviator | Common | 86.44% |
| Barrel Diffusion | Rare | 6.78% |
| Sinister Reach | Rare | 6.78% |

## Anu Mantalyst
**Base Mod Drop Chance:** 7.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aviator | Common | 86.44% |
| Barrel Diffusion | Rare | 6.78% |
| Sinister Reach | Rare | 6.78% |

## Anu Pyrolyst
**Base Mod Drop Chance:** 7.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aviator | Common | 86.44% |
| Barrel Diffusion | Rare | 6.78% |
| Sinister Reach | Rare | 6.78% |

## Anu Symbilyst
**Base Mod Drop Chance:** 7.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aviator | Common | 86.44% |
| Barrel Diffusion | Rare | 6.78% |
| Sinister Reach | Rare | 6.78% |

## Ionyx
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Overloader | Common | 88.57% |
| Sentient Scalpel | Uncommon | 11.43% |

## Gyrix
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revo Reducer | Common | 100.00% |

## Splintrix
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sentient Scalpel | Common | 50.00% |
| Revo Reducer | Common | 50.00% |

## Mimic
**Base Mod Drop Chance:** 30.00%
| Mod | Rarity | Chance |
|---|---|---|
| Smite Corpus | Uncommon | 21.43% |
| Smite Orokin | Uncommon | 21.43% |
| Smite Grineer | Uncommon | 21.43% |
| Smite Infested | Uncommon | 21.43% |
| Carving Mantis | Rare | 7.14% |
| Astral Twilight | Rare | 7.14% |

## Nascent Membroid
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Argon Plating | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Enhanced Durability | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Superior Defenses | Rare | 5.53% |
| System Reroute | Rare | 2.01% |

## Mature Membroid
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Argon Plating | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Enhanced Durability | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Superior Defenses | Rare | 5.53% |
| System Reroute | Rare | 2.01% |

## Apex Membroid
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Argon Plating | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Enhanced Durability | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Superior Defenses | Rare | 5.53% |
| System Reroute | Rare | 2.01% |

## Juvenile Membroid
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Argon Plating | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Enhanced Durability | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Auxiliary Power | Rare | 5.53% |
| Superior Defenses | Rare | 5.53% |
| System Reroute | Rare | 2.01% |

## Observation Drone
